FIA_region,ecoregionL3,er3code,forest_type,a_volume,b_volume,forest_area_km2
Interior_West,Colorado Plateaus,20,Aspen_Birch,259.18,0.02,981.25
Interior_West,Colorado Plateaus,20,Aspen_Birch,259.18,0.02,981.25
Interior_West,Colorado Plateaus,20,Aspen_Birch,259.18,0.02,981.25
Interior_West,Northern Basin and Range,80,Aspen_Birch,259.18,0.02,844.125
Interior_West,Northern Basin and Range,80,Aspen_Birch,259.18,0.02,844.125
Interior_West,Northern Basin and Range,80,Aspen_Birch,259.18,0.02,844.125
Pacific_Northwest,Northern Basin and Range,80,Aspen_Birch,191.8,0.04,844.125
Pacific_Northwest,Northern Basin and Range,80,Aspen_Birch,191.8,0.04,844.125
North_Central,Northern Glaciated Plains,46,Aspen_Birch,146.48,0.04,685.5625
North_Central,Northern Glaciated Plains,46,Aspen_Birch,146.48,0.04,685.5625
North_Central,Northern Glaciated Plains,46,Aspen_Birch,146.48,0.04,685.5625
Interior_West,Arizona/New Mexico Mountains,23,Aspen_Birch,259.18,0.02,638.25
Interior_West,Arizona/New Mexico Mountains,23,Aspen_Birch,259.18,0.02,638.25
South,Arizona/New Mexico Mountains,23,Aspen_Birch,436.64,0.02,638.25
Interior_West,Central Basin and Range,13,Aspen_Birch,259.18,0.02,432.625
Interior_West,Central Basin and Range,13,Aspen_Birch,259.18,0.02,432.625
Interior_West,Central Basin and Range,13,Aspen_Birch,259.18,0.02,432.625
Pacific_Northwest,Central Basin and Range,13,Aspen_Birch,191.8,0.04,432.625
Northeast,Eastern Great Lakes Lowlands,83,Aspen_Birch,196.77,0.03,231.25
Northeast,Eastern Great Lakes Lowlands,83,Aspen_Birch,196.77,0.03,231.25
Northeast,Eastern Great Lakes Lowlands,83,Aspen_Birch,196.77,0.03,231.25
Northeast,Eastern Great Lakes Lowlands,83,Aspen_Birch,196.77,0.03,231.25
Interior_West,Wyoming Basin,18,Aspen_Birch,259.18,0.02,200.8125
Interior_West,Wyoming Basin,18,Aspen_Birch,259.18,0.02,200.8125
Interior_West,Wyoming Basin,18,Aspen_Birch,259.18,0.02,200.8125
Interior_West,Wyoming Basin,18,Aspen_Birch,259.18,0.02,200.8125
Interior_West,Wyoming Basin,18,Aspen_Birch,259.18,0.02,200.8125
Interior_West,Canadian Rockies,41,Aspen_Birch,259.18,0.02,196.5625
North_Central,Eastern Corn Belt Plains,55,Aspen_Birch,146.48,0.04,183.8125
North_Central,Eastern Corn Belt Plains,55,Aspen_Birch,146.48,0.04,183.8125
Northeast,Eastern Corn Belt Plains,55,Aspen_Birch,196.77,0.03,183.8125
Northeast,Central Appalachians,69,Aspen_Birch,196.77,0.03,149.5625
Northeast,Central Appalachians,69,Aspen_Birch,196.77,0.03,149.5625
South,Central Appalachians,69,Aspen_Birch,436.64,0.02,149.5625
South,Central Appalachians,69,Aspen_Birch,436.64,0.02,149.5625
South,Central Appalachians,69,Aspen_Birch,436.64,0.02,149.5625
South,Central Appalachians,69,Aspen_Birch,436.64,0.02,149.5625
North_Central,Driftless Area,52,Aspen_Birch,146.48,0.04,123.8125
North_Central,Driftless Area,52,Aspen_Birch,146.48,0.04,123.8125
North_Central,Driftless Area,52,Aspen_Birch,146.48,0.04,123.8125
North_Central,Driftless Area,52,Aspen_Birch,146.48,0.04,123.8125
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
North_Central,Western Corn Belt Plains,47,Aspen_Birch,146.48,0.04,107.6875
Interior_West,Northern Rockies,15,Aspen_Birch,259.18,0.02,93.125
Interior_West,Northern Rockies,15,Aspen_Birch,259.18,0.02,93.125
Pacific_Northwest,Northern Rockies,15,Aspen_Birch,191.8,0.04,93.125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Northeast,Northeastern Coastal Zone,59,Aspen_Birch,196.77,0.03,92.8125
Interior_West,Snake River Plain,12,Aspen_Birch,259.18,0.02,74.4375
Interior_West,Snake River Plain,12,Aspen_Birch,259.18,0.02,74.4375
Pacific_Northwest,Snake River Plain,12,Aspen_Birch,191.8,0.04,74.4375
Northeast,Erie Drift Plain,61,Aspen_Birch,196.77,0.03,72.125
Northeast,Erie Drift Plain,61,Aspen_Birch,196.77,0.03,72.125
Northeast,Erie Drift Plain,61,Aspen_Birch,196.77,0.03,72.125
Interior_West,Sierra Nevada,5,Aspen_Birch,259.18,0.02,69.875
Pacific_Northwest,Sierra Nevada,5,Aspen_Birch,191.8,0.04,69.875
Interior_West,Idaho Batholith,16,Aspen_Birch,259.18,0.02,66.1875
Interior_West,Idaho Batholith,16,Aspen_Birch,259.18,0.02,66.1875
Northeast,Western Allegheny Plateau,70,Aspen_Birch,196.77,0.03,39.8125
Northeast,Western Allegheny Plateau,70,Aspen_Birch,196.77,0.03,39.8125
South,Western Allegheny Plateau,70,Aspen_Birch,436.64,0.02,39.8125
South,Western Allegheny Plateau,70,Aspen_Birch,436.64,0.02,39.8125
Northeast,Northern Allegheny Plateau,60,Aspen_Birch,196.77,0.03,38.0625
Northeast,Northern Allegheny Plateau,60,Aspen_Birch,196.77,0.03,38.0625
Northeast,North Central Appalachians,62,Aspen_Birch,196.77,0.03,30.3125
Northeast,North Central Appalachians,62,Aspen_Birch,196.77,0.03,30.3125
North_Central,Southeastern Wisconsin Till Plains,53,Aspen_Birch,146.48,0.04,26.9375
North_Central,Southeastern Wisconsin Till Plains,53,Aspen_Birch,146.48,0.04,26.9375
Interior_West,Blue Mountains,11,Aspen_Birch,259.18,0.02,26.625
Pacific_Northwest,Blue Mountains,11,Aspen_Birch,191.8,0.04,26.625
Pacific_Northwest,Blue Mountains,11,Aspen_Birch,191.8,0.04,26.625
Interior_West,Northwestern Great Plains,43,Aspen_Birch,259.18,0.02,24.875
Interior_West,Northwestern Great Plains,43,Aspen_Birch,259.18,0.02,24.875
North_Central,Northwestern Great Plains,43,Aspen_Birch,146.48,0.04,24.875
North_Central,Northwestern Great Plains,43,Aspen_Birch,146.48,0.04,24.875
North_Central,Northwestern Great Plains,43,Aspen_Birch,146.48,0.04,24.875
Interior_West,Northwestern Glaciated Plains,42,Aspen_Birch,259.18,0.02,24.4375
North_Central,Northwestern Glaciated Plains,42,Aspen_Birch,146.48,0.04,24.4375
North_Central,Northwestern Glaciated Plains,42,Aspen_Birch,146.48,0.04,24.4375
North_Central,Northwestern Glaciated Plains,42,Aspen_Birch,146.48,0.04,24.4375
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Aspen_Birch,191.8,0.04,20.625
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Aspen_Birch,191.8,0.04,20.625
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Aspen_Birch,191.8,0.04,20.625
Northeast,Ridge and Valley,67,Aspen_Birch,196.77,0.03,19.375
Northeast,Ridge and Valley,67,Aspen_Birch,196.77,0.03,19.375
Northeast,Ridge and Valley,67,Aspen_Birch,196.77,0.03,19.375
Northeast,Ridge and Valley,67,Aspen_Birch,196.77,0.03,19.375
South,Ridge and Valley,67,Aspen_Birch,436.64,0.02,19.375
South,Ridge and Valley,67,Aspen_Birch,436.64,0.02,19.375
South,Ridge and Valley,67,Aspen_Birch,436.64,0.02,19.375
South,Ridge and Valley,67,Aspen_Birch,436.64,0.02,19.375
South,Ridge and Valley,67,Aspen_Birch,436.64,0.02,19.375
Northeast,Northern Piedmont,64,Aspen_Birch,196.77,0.03,10.75
Northeast,Northern Piedmont,64,Aspen_Birch,196.77,0.03,10.75
Northeast,Northern Piedmont,64,Aspen_Birch,196.77,0.03,10.75
Northeast,Northern Piedmont,64,Aspen_Birch,196.77,0.03,10.75
Northeast,Northern Piedmont,64,Aspen_Birch,196.77,0.03,10.75
South,Northern Piedmont,64,Aspen_Birch,436.64,0.02,10.75
Pacific_Northwest,North Cascades,77,Aspen_Birch,191.8,0.04,9.0625
Interior_West,Chihuahuan Deserts,24,Aspen_Birch,259.18,0.02,7.625
Interior_West,Chihuahuan Deserts,24,Aspen_Birch,259.18,0.02,7.625
South,Chihuahuan Deserts,24,Aspen_Birch,436.64,0.02,7.625
Pacific_Northwest,Cascades,4,Aspen_Birch,191.8,0.04,6.125
Pacific_Northwest,Cascades,4,Aspen_Birch,191.8,0.04,6.125
Pacific_Northwest,Cascades,4,Aspen_Birch,191.8,0.04,6.125
Interior_West,Arizona/New Mexico Plateau,22,Aspen_Birch,259.18,0.02,5.875
Interior_West,Arizona/New Mexico Plateau,22,Aspen_Birch,259.18,0.02,5.875
Interior_West,Arizona/New Mexico Plateau,22,Aspen_Birch,259.18,0.02,5.875
Interior_West,Arizona/New Mexico Plateau,22,Aspen_Birch,259.18,0.02,5.875
Pacific_Northwest,Willamette Valley,3,Aspen_Birch,191.8,0.04,3.4375
Pacific_Northwest,Willamette Valley,3,Aspen_Birch,191.8,0.04,3.4375
Northeast,Atlantic Coastal Pine Barrens,84,Aspen_Birch,196.77,0.03,2.1875
Northeast,Atlantic Coastal Pine Barrens,84,Aspen_Birch,196.77,0.03,2.1875
Northeast,Atlantic Coastal Pine Barrens,84,Aspen_Birch,196.77,0.03,2.1875
Interior_West,Madrean Archipelago,79,Aspen_Birch,259.18,0.02,2.0625
Interior_West,Madrean Archipelago,79,Aspen_Birch,259.18,0.02,2.0625
North_Central,Central Corn Belt Plains,54,Aspen_Birch,146.48,0.04,1.0625
North_Central,Central Corn Belt Plains,54,Aspen_Birch,146.48,0.04,1.0625
North_Central,Central Corn Belt Plains,54,Aspen_Birch,146.48,0.04,1.0625
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Aspen_Birch,191.8,0.04,0.25
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Aspen_Birch,191.8,0.04,0.25
North_Central,Central Irregular Plains,40,Aspen_Birch,146.48,0.04,0.1875
North_Central,Central Irregular Plains,40,Aspen_Birch,146.48,0.04,0.1875
North_Central,Central Irregular Plains,40,Aspen_Birch,146.48,0.04,0.1875
North_Central,Interior River Valleys and Hills,72,Aspen_Birch,146.48,0.04,0.1875
North_Central,Interior River Valleys and Hills,72,Aspen_Birch,146.48,0.04,0.1875
North_Central,Interior River Valleys and Hills,72,Aspen_Birch,146.48,0.04,0.1875
North_Central,Interior River Valleys and Hills,72,Aspen_Birch,146.48,0.04,0.1875
South,Central Irregular Plains,40,Aspen_Birch,436.64,0.02,0.1875
South,Interior River Valleys and Hills,72,Aspen_Birch,436.64,0.02,0.1875
Interior_West,Columbia Plateau,10,Aspen_Birch,259.18,0.02,0.125
Interior_West,Mojave Basin and Range,14,Aspen_Birch,259.18,0.02,0.125
Interior_West,Mojave Basin and Range,14,Aspen_Birch,259.18,0.02,0.125
Interior_West,Mojave Basin and Range,14,Aspen_Birch,259.18,0.02,0.125
Pacific_Northwest,Columbia Plateau,10,Aspen_Birch,191.8,0.04,0.125
Pacific_Northwest,Columbia Plateau,10,Aspen_Birch,191.8,0.04,0.125
Pacific_Northwest,Mojave Basin and Range,14,Aspen_Birch,191.8,0.04,0.125
Pacific_Northwest,Puget Lowland,2,Aspen_Birch,191.8,0.04,0.125
North_Central,Interior Plateau,71,Aspen_Birch,146.48,0.04,0.0625
North_Central,Interior Plateau,71,Aspen_Birch,146.48,0.04,0.0625
Northeast,Interior Plateau,71,Aspen_Birch,196.77,0.03,0.0625
South,Interior Plateau,71,Aspen_Birch,436.64,0.02,0.0625
South,Interior Plateau,71,Aspen_Birch,436.64,0.02,0.0625
South,Interior Plateau,71,Aspen_Birch,436.64,0.02,0.0625
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,California_Mixed_Conifer,477.09,0.02,18423.0625
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,California_Mixed_Conifer,477.09,0.02,18423.0625
Pacific_Northwest,Sierra Nevada,5,California_Mixed_Conifer,477.09,0.02,17578
Pacific_Northwest,Cascades,4,California_Mixed_Conifer,477.09,0.02,6401.375
Pacific_Northwest,Cascades,4,California_Mixed_Conifer,477.09,0.02,6401.375
Pacific_Northwest,Cascades,4,California_Mixed_Conifer,477.09,0.02,6401.375
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,California_Mixed_Conifer,477.09,0.02,1165.6875
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,California_Mixed_Conifer,477.09,0.02,1165.6875
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,California_Mixed_Conifer,477.09,0.02,1165.6875
Pacific_Northwest,Southern California Mountains,8,California_Mixed_Conifer,477.09,0.02,1155.5
Pacific_Northwest,Coast Range,1,California_Mixed_Conifer,477.09,0.02,351.6875
Pacific_Northwest,Coast Range,1,California_Mixed_Conifer,477.09,0.02,351.6875
Pacific_Northwest,Coast Range,1,California_Mixed_Conifer,477.09,0.02,351.6875
Pacific_Northwest,Central California Foothills and Coastal Mountains,6,California_Mixed_Conifer,477.09,0.02,248.0625
Pacific_Northwest,Blue Mountains,11,California_Mixed_Conifer,477.09,0.02,114.3125
Pacific_Northwest,Blue Mountains,11,California_Mixed_Conifer,477.09,0.02,114.3125
Pacific_Northwest,Northern Basin and Range,80,California_Mixed_Conifer,477.09,0.02,82.625
Pacific_Northwest,Northern Basin and Range,80,California_Mixed_Conifer,477.09,0.02,82.625
Pacific_Northwest,Snake River Plain,12,California_Mixed_Conifer,477.09,0.02,24.1875
Pacific_Northwest,Columbia Plateau,10,California_Mixed_Conifer,477.09,0.02,13.6875
Pacific_Northwest,Columbia Plateau,10,California_Mixed_Conifer,477.09,0.02,13.6875
Pacific_Northwest,Central Basin and Range,13,California_Mixed_Conifer,477.09,0.02,11.6875
Pacific_Northwest,Mojave Basin and Range,14,California_Mixed_Conifer,477.09,0.02,5.5625
Pacific_Northwest,Sonoran Basin and Range,81,California_Mixed_Conifer,477.09,0.02,5.5625
Pacific_Northwest,Southern California/Northern Baja Coast,85,California_Mixed_Conifer,477.09,0.02,0.25
Interior_West,Arizona/New Mexico Mountains,23,Douglas_Fir,178.98,0.03,1445.4375
Interior_West,Arizona/New Mexico Mountains,23,Douglas_Fir,178.98,0.03,1445.4375
Interior_West,Arizona/New Mexico Plateau,22,Douglas_Fir,178.98,0.03,16.0625
Interior_West,Arizona/New Mexico Plateau,22,Douglas_Fir,178.98,0.03,16.0625
Interior_West,Arizona/New Mexico Plateau,22,Douglas_Fir,178.98,0.03,16.0625
Interior_West,Arizona/New Mexico Plateau,22,Douglas_Fir,178.98,0.03,16.0625
Interior_West,Blue Mountains,11,Douglas_Fir,178.98,0.03,7367.75
Interior_West,Canadian Rockies,41,Douglas_Fir,178.98,0.03,3137
Interior_West,Central Basin and Range,13,Douglas_Fir,178.98,0.03,80.375
Interior_West,Central Basin and Range,13,Douglas_Fir,178.98,0.03,80.375
Interior_West,Central Basin and Range,13,Douglas_Fir,178.98,0.03,80.375
Interior_West,Colorado Plateaus,20,Douglas_Fir,178.98,0.03,691.5625
Interior_West,Colorado Plateaus,20,Douglas_Fir,178.98,0.03,691.5625
Interior_West,Colorado Plateaus,20,Douglas_Fir,178.98,0.03,691.5625
Interior_West,Colorado Plateaus,20,Douglas_Fir,178.98,0.03,691.5625
Interior_West,Columbia Plateau,10,Douglas_Fir,178.98,0.03,826.5625
Interior_West,High Plains,25,Douglas_Fir,178.98,0.03,3.5625
Interior_West,High Plains,25,Douglas_Fir,178.98,0.03,3.5625
Interior_West,High Plains,25,Douglas_Fir,178.98,0.03,3.5625
Interior_West,Idaho Batholith,16,Douglas_Fir,178.98,0.03,24019.8125
Interior_West,Idaho Batholith,16,Douglas_Fir,178.98,0.03,24019.8125
Interior_West,Madrean Archipelago,79,Douglas_Fir,178.98,0.03,94.9375
Interior_West,Madrean Archipelago,79,Douglas_Fir,178.98,0.03,94.9375
Interior_West,Middle Rockies,17,Douglas_Fir,178.98,0.03,26120.1875
Interior_West,Middle Rockies,17,Douglas_Fir,178.98,0.03,26120.1875
Interior_West,Middle Rockies,17,Douglas_Fir,178.98,0.03,26120.1875
Interior_West,Mojave Basin and Range,14,Douglas_Fir,178.98,0.03,2.75
Interior_West,Mojave Basin and Range,14,Douglas_Fir,178.98,0.03,2.75
Interior_West,Mojave Basin and Range,14,Douglas_Fir,178.98,0.03,2.75
Interior_West,Northern Basin and Range,80,Douglas_Fir,178.98,0.03,1266.1875
Interior_West,Northern Basin and Range,80,Douglas_Fir,178.98,0.03,1266.1875
Interior_West,Northern Basin and Range,80,Douglas_Fir,178.98,0.03,1266.1875
Interior_West,Northern Rockies,15,Douglas_Fir,178.98,0.03,38487.25
Interior_West,Northern Rockies,15,Douglas_Fir,178.98,0.03,38487.25
Interior_West,Northwestern Glaciated Plains,42,Douglas_Fir,178.98,0.03,74.6875
Interior_West,Northwestern Great Plains,43,Douglas_Fir,178.98,0.03,955.5
Interior_West,Northwestern Great Plains,43,Douglas_Fir,178.98,0.03,955.5
Interior_West,Snake River Plain,12,Douglas_Fir,178.98,0.03,84.6875
Interior_West,Snake River Plain,12,Douglas_Fir,178.98,0.03,84.6875
Interior_West,Southern Rockies,21,Douglas_Fir,178.98,0.03,7192.3125
Interior_West,Southern Rockies,21,Douglas_Fir,178.98,0.03,7192.3125
Interior_West,Southern Rockies,21,Douglas_Fir,178.98,0.03,7192.3125
Interior_West,Southern Rockies,21,Douglas_Fir,178.98,0.03,7192.3125
Interior_West,Southwestern Tablelands,26,Douglas_Fir,178.98,0.03,0.125
Interior_West,Southwestern Tablelands,26,Douglas_Fir,178.98,0.03,0.125
Interior_West,Wasatch and Uinta Mountains,19,Douglas_Fir,178.98,0.03,1621
Interior_West,Wasatch and Uinta Mountains,19,Douglas_Fir,178.98,0.03,1621
Interior_West,Wasatch and Uinta Mountains,19,Douglas_Fir,178.98,0.03,1621
Interior_West,Wyoming Basin,18,Douglas_Fir,178.98,0.03,280.25
Interior_West,Wyoming Basin,18,Douglas_Fir,178.98,0.03,280.25
Interior_West,Wyoming Basin,18,Douglas_Fir,178.98,0.03,280.25
Interior_West,Wyoming Basin,18,Douglas_Fir,178.98,0.03,280.25
Interior_West,Wyoming Basin,18,Douglas_Fir,178.98,0.03,280.25
Northeast,Northern Allegheny Plateau,60,Douglas_Fir,1088.6,0.02,5.3125
Northeast,Northern Allegheny Plateau,60,Douglas_Fir,1088.6,0.02,5.3125
Pacific_Northwest,Blue Mountains,11,Douglas_Fir,597.1,0.03,7367.75
Pacific_Northwest,Blue Mountains,11,Douglas_Fir,597.1,0.03,7367.75
Pacific_Northwest,Cascades,4,Douglas_Fir,597.1,0.03,29920.3125
Pacific_Northwest,Cascades,4,Douglas_Fir,597.1,0.03,29920.3125
Pacific_Northwest,Cascades,4,Douglas_Fir,597.1,0.03,29920.3125
Pacific_Northwest,Central Basin and Range,13,Douglas_Fir,597.1,0.03,80.375
Pacific_Northwest,Central California Foothills and Coastal Mountains,6,Douglas_Fir,597.1,0.03,55.8125
Pacific_Northwest,Coast Range,1,Douglas_Fir,597.1,0.03,25429.75
Pacific_Northwest,Coast Range,1,Douglas_Fir,597.1,0.03,25429.75
Pacific_Northwest,Coast Range,1,Douglas_Fir,597.1,0.03,25429.75
Pacific_Northwest,Columbia Plateau,10,Douglas_Fir,597.1,0.03,826.5625
Pacific_Northwest,Columbia Plateau,10,Douglas_Fir,597.1,0.03,826.5625
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Douglas_Fir,597.1,0.03,4769.5625
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Douglas_Fir,597.1,0.03,4769.5625
Pacific_Northwest,Eastern Cascades Slopes and Foothills,9,Douglas_Fir,597.1,0.03,4769.5625
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Douglas_Fir,597.1,0.03,11943
Pacific_Northwest,Klamath Mountains/California High North Coast Range,78,Douglas_Fir,597.1,0.03,11943
Pacific_Northwest,Mojave Basin and Range,14,Douglas_Fir,597.1,0.03,2.75
Pacific_Northwest,North Cascades,77,Douglas_Fir,597.1,0.03,9390.0625
Pacific_Northwest,Northern Basin and Range,80,Douglas_Fir,597.1,0.03,1266.1875
Pacific_Northwest,Northern Basin and Range,80,Douglas_Fir,597.1,0.03,1266.1875
Pacific_Northwest,Northern Rockies,15,Douglas_Fir,597.1,0.03,38487.25
Pacific_Northwest,Puget Lowland,2,Douglas_Fir,597.1,0.03,6374.25
Pacific_Northwest,Snake River Plain,12,Douglas_Fir,597.1,0.03,84.6875
Pacific_Northwest,Southern California Mountains,8,Douglas_Fir,597.1,0.03,0.0625
Pacific_Northwest,Willamette Valley,3,Douglas_Fir,597.1,0.03,2953.4375
Pacific_Northwest,Willamette Valley,3,Douglas_Fir,597.1,0.03,2953.4375
North_Central,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,155.53,0.05,6434
North_Central,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,155.53,0.05,6434
South,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,229.1,0.04,6434
South,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,229.1,0.04,6434
South,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,229.1,0.04,6434
South,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,229.1,0.04,6434
South,Mississippi Alluvial Plain,73,Elm_Ash_Cottonwood,229.1,0.04,6434
North_Central,Central Irregular Plains,40,Elm_Ash_Cottonwood,155.53,0.05,3147.6875
North_Central,Central Irregular Plains,40,Elm_Ash_Cottonwood,155.53,0.05,3147.6875
North_Central,Central Irregular Plains,40,Elm_Ash_Cottonwood,155.53,0.05,3147.6875
South,Central Irregular Plains,40,Elm_Ash_Cottonwood,229.1,0.04,3147.6875
North_Central,Interior River Valleys and Hills,72,Elm_Ash_Cottonwood,155.53,0.05,2738.1875
North_Central,Interior River Valleys and Hills,72,Elm_Ash_Cottonwood,155.53,0.05,2738.1875
North_Central,Interior River Valleys and Hills,72,Elm_Ash_Cottonwood,155.53,0.05,2738.1875
North_Central,Interior River Valleys and Hills,72,Elm_Ash_Cottonwood,155.53,0.05,2738.1875
South,Interior River Valleys and Hills,72,Elm_Ash_Cottonwood,229.1,0.04,2738.1875
South,East Central Texas Plains,33,Elm_Ash_Cottonwood,229.1,0.04,2408.3125
South,East Central Texas Plains,33,Elm_Ash_Cottonwood,229.1,0.04,2408.3125
North_Central,Western Corn Belt Plains,47,Elm_Ash_Cottonwood,155.53,0.05,2080.875
North_Central,Western Corn Belt Plains,47,Elm_Ash_Cottonwood,155.53,0.05,2080.875
